ir.1	ir.2	ir.3	ir.4	er.1	er.2	er.3	er.4	gender
12.861	27.151	30.009	30.009	16.597	29.352	46.609	29.877	1
30.009	58.589	61.447	61.447	27.314	24.859	15.363	42.181	1
28.58	45.728	45.728	42.87	22.713	13.209	20.26	24.314	1
78.595	82.882	82.882	80.024	39.536	7.738	24.949	31.136	1
30.009	52.873	58.589	37.154	26.146	26.595	19.993	40.265	1
47.157	55.731	54.302	52.873	24.914	36.719	18.208	18.184	1
28.58	32.867	37.154	24.293	23.744	14.971	46.178	29.052	1
18.577	24.293	32.867	38.583	9.168	11.873	15.002	40.64	1
25.722	48.586	45.728	50.015	18.556	31.998	16.639	31.516	0
18.577	15.719	15.719	14.29	43.352	32.919	13.315	49.44	1
61.447	75.737	68.592	77.166	11.155	28.657	43.33	40.108	1
38.583	54.302	50.015	52.873	25.121	19.818	30.185	32.713	1
21.435	35.725	35.725	25.722	47.114	38.158	12.677	19.28	1
21.435	31.438	50.015	38.583	29.358	8.615	22.407	46.494	1
34.296	68.592	72.879	67.163	2.731	49.236	49.099	22.938	1
42.87	61.447	60.018	67.163	19.505	36.957	23.244	36.114	0
50.015	72.879	72.879	78.595	2.859	13.593	10.505	19.392	1
41.441	42.87	50.015	41.441	7.247	23.716	25.484	46.143	1
57.16	78.595	82.882	78.595	34.881	11.245	32.993	41.71	1
27.151	54.302	50.015	57.16	2.547	6.358	37.083	30.038	1
25.722	54.302	54.302	40.012	38.953	24.468	36.918	37.499	1
24.293	60.018	62.876	54.302	4.676	42.067	43.834	33.976	1
24.293	52.873	51.444	35.725	47.837	13.112	19.94	22.201	1
12.861	18.577	21.435	28.58	46.229	46.754	49.962	44.467	0
31.438	67.163	74.308	72.879	0.857	45.005	40.09	15.546	1
18.577	52.873	48.586	35.725	38.858	18.222	17.715	36.755	0
28.58	57.16	48.586	44.299	15.709	13.408	20.175	22.8	0
18.577	27.151	27.151	22.864	12.122	26.935	14.836	24.104	0
14.29	52.873	51.444	48.586	1.792	18.503	29.942	41.596	0
7.145	21.435	32.867	28.58	2.845	8.603	32.736	31.074	0
25.722	44.299	51.444	40.012	8.127	6.623	21.174	18.031	0
17.148	40.012	41.441	51.444	5.239	44.566	12.436	34	1
7.145	17.148	28.58	28.58	15.571	28.061	15.707	38.984	1
30.009	57.16	54.302	61.447	22.768	25.931	35.603	34.916	1
38.583	58.589	61.447	57.16	31.524	22.833	47.968	25.817	1
42.87	51.444	64.305	62.876	37.346	5.481	17.763	19.875	1
40.012	75.737	75.737	78.595	21.631	31.383	39.745	47.24	1
48.586	87.169	88.598	80.024	43.463	42.8	48.194	37.92	1
25.722	50.015	51.444	55.731	31.153	11.004	12.031	36.934	1
24.293	41.441	40.012	44.299	24.891	41.613	47.585	27.939	1
18.577	41.441	48.586	41.441	21.349	15.518	11.209	42.22	0
18.577	38.583	55.731	44.299	42.903	41.484	23.39	29.394	1
34.296	68.592	64.305	64.305	36.389	32.047	40.255	19.688	1
22.864	45.728	51.444	50.015	41.553	48.899	21.878	38.258	0
24.293	27.151	37.154	30.009	41.145	28.763	39.028	46.31	1
24.293	22.864	31.438	31.438	1.71	21.315	17.084	18.926	1
25.722	54.302	50.015	30.009	48.421	23.525	30.842	35.74	1
20.006	60.018	60.018	41.441	10.623	7.287	45.028	47.091	1
42.87	70.021	84.311	57.16	26.032	17.524	17.901	45.947	0
22.864	32.867	35.725	34.296	18.703	40.457	49.709	36.136	0
58.589	67.163	71.45	80.024	28.875	41.976	47.524	36.278	0
25.722	38.583	41.441	25.722	47.158	27.566	17.63	21.898	0
30.009	52.873	61.447	61.447	1.167	26.142	42.498	37.749	0
15.719	32.867	34.296	40.012	1.891	40.201	39.864	45.478	0
10.003	32.867	28.58	37.154	24.007	42.487	42.144	31.211	0
21.435	37.154	38.583	41.441	12.367	30.631	33.541	49.689	0
18.577	15.719	20.006	12.861	11.671	12.845	14.543	16.945	0
48.586	62.876	64.305	45.728	18.022	5.998	12.539	16.785	0
47.157	64.305	64.305	77.166	21.837	9.511	10.797	37.543	0
42.87	77.166	70.021	71.45	4.519	16.7	19.277	46.726	0
30.009	47.157	45.728	45.728	27.095	7.833	43.477	17.499	0
27.151	52.873	58.589	47.157	16.568	47.158	41.204	38.775	0
52.873	64.305	62.876	60.018	9.412	28.118	21.487	34.349	0
47.157	70.021	78.595	77.166	39.019	25.717	14.484	31.425	0
40.012	50.015	55.731	57.16	21.97	25.528	28.347	16.546	1
